src,dst
24,90
24,108
24,110
24,155
24,160
24,165
24,175
24,203
24,259
24,340
24,375
24,409
24,420
24,438
24,488
24,711
24,784
24,871
24,904
24,1052
24,1053
24,1091
24,1054
24,1080
24,1064
24,1111
24,1161
24,1125
24,1138
24,3033
24,5444
25,12
25,543
25,1259
25,590
25,919
25,711
25,1111
25,1326
25,1325
25,210
25,1263
25,1337
25,90
25,490
25,238
25,784
25,681
25,183
25,153
25,1327
25,1236
25,1138
25,1324
25,1400
26,877
26,875
26,450
26,225
26,856
26,853
26,894
26,901
26,465
26,752
26,900
26,687
26,922
26,857
26,878
26,27
26,1018
26,277
26,1031
26,264
26,1032
27,3
27,26
27,1118
27,1115
27,1119
27,1265
27,225
27,243
27,1117
27,450
27,351
27,209
27,752
27,922
27,390
27,403
27,128
27,766
27,222
28,21
28,10
28,1755
28,1807
28,1816
28,481
28,1834
28,1756
28,260
28,239
28,375
28,1832
28,694
28,1833
28,1785
28,1711
28,1783
28,1875
28,1876
28,1882
29,5
29,6
29,10
29,60
29,104
29,90
29,88
29,110
29,203
29,221
29,212
29,201
29,236
29,263
29,405
29,369
29,372
29,420
29,409
29,410
29,438
29,417
29,421
29,403
29,422
29,404
29,486
29,423
29,424
29,515
29,575
29,871
29,915
29,1125
29,1141
29,2174
29,2450
29,2899
29,3296
29,3287
29,3493
29,3513
29,3559
29,3697
29,4942
29,4984
29,5353
29,8469
29,10216
30,38
30,68
30,1540
30,1683
30,1038
30,1989
30,1714
30,1331
30,1817
30,2409
30,709
30,936
30,1612
30,1635
30,1667
30,1663
30,1283
30,2202
30,1863
30,2392
30,1197
30,1387
30,1903
30,1036
30,1371
30,1638
30,1037
30,1987
30,1921
30,2412
30,1096
30,1922
30,984
30,1461
30,2022
30,2164
30,1902
30,1666
30,2054
30,935
30,1281
30,710
30,2208
30,544
30,1636
30,1504
30,2126
30,1944
30,1558
30,1460
30,105
30,2163
30,1150
30,1332
30,2204
30,2411
30,2207
30,2021
30,2019
30,2184
30,1988
30,1155
30,1861
30,1282
30,1151
30,2087
30,1154
30,1665
30,1404
30,1557
30,529
30,1198
30,1094
30,2055
30,1580
30,1611
30,1609
30,2182
30,1244
30,1943
30,1579
30,1370
30,2020
30,938
30,1637
30,1664
30,1092
30,1716
30,1942
30,2183
30,1634
30,1900
30,1613
30,2203
30,2206
30,1941
30,2057
30,2393
30,1445
30,2125
30,1760
30,2394
30,2205
30,1372
30,1684
30,1818
30,1095
30,1610
30,1662
30,1614
30,2185
30,1199
30,1152
30,1462
30,1428
30,937
30,163
30,1369
30,1405
30,1920
30,1330
30,1901
30,1333
30,3687
30,3725
30,3770
30,3771
30,3772
30,3773
30,3793
30,3198
30,3807
30,3808
30,3842
30,3843
30,3844
30,3845
30,3890
30,3891
30,3903
30,3933
30,3934
30,3975
30,3977
30,4000
30,2100
30,4024
30,948
30,4025
30,4058
30,4082
30,4083
30,4084
30,4085
30,4086
30,4172
30,146
30,4187
30,4022
30,4199
30,4200
30,4245
30,4246
30,4247
30,4261
30,4262
30,4294
30,4315
30,4316
30,4339
30,4366
30,3149
30,4368
30,4483
30,1448
30,4501
30,4502
30,4559
30,4560
30,4561
30,3400
30,4572
30,4573
30,4604
30,4605
30,4606
30,4630
30,4631
30,4632
30,4633
30,4634
30,4646
30,4647
30,4648
30,4660
30,4661
30,4662
30,4663
30,4674
30,4675
30,4713
30,4714
30,4715
30,4740
30,4741
30,4769
30,4771
30,856
30,4792
30,2991
30,4808
30,4809
30,4810
30,4811
30,4812
30,4829
30,4830
30,4831
30,4614
30,4838
30,1203
30,4839
30,149
30,4860
30,740
30,4861
30,4874
30,4875
30,4876
30,4885
30,4886
30,2525
30,4887
30,4990
30,5008
30,5009
30,5038
30,5039
30,5040
30,5126
30,5127
30,5128
30,5129
30,5141
30,5164
30,5165
30,5184
30,5229
30,5230
30,5231
30,5254
30,5255
30,5271
30,5272
30,5286
30,257
30,5376
30,5391
30,4236
30,5449
30,5450
30,5463
30,3069
30,5484
30,5485
30,5509
30,5528
30,440
30,5529
30,5531
30,3021
30,5575
30,5614
30,5631
30,5632
30,5633
30,5726
30,5727
30,5728
30,4338
30,5841
30,5853
30,5854
30,5881
30,5882
30,5895
30,5904
30,5927
30,5945
30,5962
30,6014
30,6027
30,6028
30,6037
30,6038
30,6060
30,2687
30,3991
30,6091
30,6092
30,6093
30,6094
30,927
30,6108
30,6109
30,6110
30,2636
30,2096
30,6119
30,6120
30,6121
30,6137
30,6188
30,6189
30,6190
30,6191
30,1265
30,6250
30,4591
30,6280
30,6281
30,6288
30,6304
30,6305
30,6306
30,6307
30,5471
30,5300
30,6308
30,6320
30,6321
30,6322
30,6337
30,6299
30,6357
30,6372
30,6374
30,6375
30,6348
30,6260
30,4361
30,6408
30,6423
30,6424
30,6437
30,6450
30,6496
30,6497
30,6512
30,2859
30,6560
30,6562
30,6563
30,6576
30,6577
30,6610
30,585
30,6638
30,2714
30,6639
30,6675
30,6677
30,6700
30,6746
30,6837
30,6893
30,6914
30,6941
30,6968
30,6969
30,6970
30,6972
30,6997
30,6998
30,187
30,6999
30,7040
30,7041
30,7042
30,7070
30,7071
30,7072
30,5473
30,7073
30,7074
30,6992
30,7104
30,7129
30,7130
30,7131
30,7132
30,4402
30,7165
30,7264
30,7265
30,7302
30,7303
30,7304
30,7305
30,7306
30,7307
30,7308
30,7331
30,7369
30,7370
30,7371
30,7372
30,7392
30,7395
30,7415
30,6720
30,7434
30,5659
30,7435
30,5939
30,7436
30,7452
30,6693
30,7466
30,7467
30,7468
30,6435
30,7488
30,7489
30,7490
30,2800
30,1673
30,7501
30,7502
30,7504
30,7506
30,7518
30,6290
30,7534
30,7535
30,7536
30,1378
30,7537
30,7549
30,7616
30,7315
30,7617
30,7618
30,7619
30,7334
30,7628
30,7629
30,2956
30,7639
30,7640
30,7651
30,7652
30,7653
30,7663
30,2231
30,7665
30,4546
30,7686
30,7687
30,7688
30,7689
30,7690
30,7726
30,7744
30,7745
30,7746
30,7747
30,7767
30,7769
30,7771
30,7790
30,1741
30,4276
30,7798
30,7799
30,7800
30,7818
30,7819
30,7820
30,7845
30,7846
30,7847
30,7875
30,7877
30,909
30,7888
30,7903
30,7904
30,7905
30,5167
30,7943
30,7944
30,7945
30,7946
30,7954
30,7955
30,1065
30,7969
30,7970
30,7971
30,7972
30,7889
30,8000
30,8016
30,8017
30,8018
30,7525
30,1949
30,8059
30,1056
30,8060
30,8061
30,8071
30,8085
30,8086
30,8115
30,4962
30,8141
30,8143
30,8160
30,602
30,8250
30,8251
30,3724
30,8252
30,8274
30,8288
30,8322
30,8346
30,8360
30,8370
30,8382
30,8383
30,8384
30,7839
30,8394
30,8028
30,8415
30,4420
30,8416
30,8428
30,8429
30,5824
30,8453
30,8454
30,8461
30,8462
30,8476
30,7058
30,8490
30,8491
30,8492
30,8493
30,8494
30,8524
30,8525
30,8536
30,8548
30,8549
30,5898
30,8550
30,8562
30,8576
30,8577
30,8598
30,8599
30,729
30,3260
30,8612
30,8630
30,8257
30,8631
30,8632
30,8658
30,8659
30,8674
30,957
30,8690
30,956
30,8704
30,1847
30,8711
30,8712
30,5971
30,8746
30,8747
30,8748
30,8765
30,8766
30,8786
30,8787
30,7949
30,8788
30,1860
30,8797
30,8756
30,6405
30,3183
30,8825
30,8827
30,8843
30,8844
30,8845
30,8853
30,8855
30,8856
30,8857
30,8858
30,6886
30,8864
30,8865
30,8866
30,8867
30,2134
30,8875
30,8876
30,3238
30,8886
30,8893
30,8894
30,8903
30,8904
30,8956
30,8957
30,5580
30,691
30,8970
30,8971
30,483
30,8997
30,8998
30,9000
30,9001
30,8235
30,9012
30,9032
30,9033
30,9051
30,9066
30,9028
30,9067
30,9068
30,9078
30,9090
30,9091
30,6062
30,9118
30,9119
30,9132
30,3584
30,2467
30,9143
30,9144
30,9103
30,9145
30,9146
30,9176
30,9178
30,9179
30,9180
30,9207
30,6884
30,9208
30,9209
30,9244
30,9245
30,9236
30,9265
30,9266
30,9281
30,963
30,9282
30,9283
30,7615
30,9299
30,7902
30,3300
30,3264
30,156
30,891
30,9372
30,4471
30,9373
30,9391
30,7068
30,9392
30,6696
30,3216
30,4250
30,9412
30,9413
30,9414
30,4935
30,4109
30,9415
30,9416
30,9438
30,9258
30,9458
30,9459
30,9460
30,9461
30,9495
30,9496
30,9497
30,9515
30,2988
30,9593
30,4719
30,7090
30,3171
30,9192
30,9626
30,9627
30,9628
30,9638
30,9639
30,9640
30,9641
30,9642
30,9651
30,1624
30,9657
30,583
30,9659
30,3742
30,9692
30,9693
30,9694
30,1884
30,9714
30,5088
30,7111
30,9737
30,9738
30,9762
30,9763
30,9764
30,3291
30,4724
30,9804
30,9805
30,9806
30,9807
30,9840
30,5674
30,9857
30,9257
30,9910
30,9911
30,9950
30,9953
30,9976
30,6812
30,8264
30,9994
30,9996
30,1831
30,4965
30,10062
30,10063
30,10091
30,10092
30,592
30,10093
30,2818
30,10094
30,10115
30,671
30,7342
30,1769
30,2295
30,10153
30,7311
30,10200
30,6932
30,5752
30,10231
30,10250
30,10251
30,10291
30,10292
30,10293
30,10294
30,10330
30,10331
30,10332
31,728
31,686
31,685
31,683
31,727
31,652
31,682
31,729
31,745
31,653
31,706
31,707
31,840
32,39
32,40
32,7
32,38
32,403
32,658
32,741
32,839
32,924
32,1019
32,1213
32,1215
32,1239
32,1279
32,1274
32,6378
33,48
33,1149
33,1010
33,1088
33,1085
33,1087
33,1113
33,1089
33,1098
33,863
33,611
33,1112
33,598
33,597
33,1100
33,1114
33,498
33,1272
33,1203
33,1294
33,51
33,1309
33,950
33,1015
33,818
33,842
33,689
33,1367
33,566
33,1374
33,595
33,1108
33,1379
33,1380
33,1376
33,1381
33,1382
33,1383
33,1388
33,1389
33,735
33,1390
33,1394
33,1395
33,1396
33,1401
34,47
34,36
34,48
34,44
34,1433
34,1011
34,1013
34,1434
34,617
34,992
34,1026
34,1135
34,758
34,45
34,1142
34,1287
35,577
35,623
35,625
35,594
35,596
35,595
35,627
35,578
35,569
35,631
35,588
35,598
35,614
35,624
35,581
35,599
35,622
35,597
35,618
35,613
35,579
35,688
35,689
35,690
35,691
35,692
35,693
35,724
35,734
35,735
36,34
36,991
36,1043
36,1016
36,792
36,1057
36,1013
36,1012
36,749
36,978
36,1015
36,1044
36,942
36,1045
36,1042
36,1001
36,626
36,729
37,554
37,252
37,75
37,552
37,538
37,58
37,526
37,504
37,540
37,502
37,539
37,565
37,553
37,426
37,551
37,629
37,630
38,39
38,32
38,786
38,619
38,1890
38,1891
38,1653
38,583
38,673
38,1928
38,1929
38,1932
39,32
39,38
39,562
39,563
39,547
39,583
39,602
39,592
39,619
39,593
39,670
39,671
39,585
39,672
39,673
39,786
39,1929
39,3742
39,7452
39,7628
39,7618
39,9926
39,10150
39,11017
40,658
40,1059
40,1060
40,230
40,466
40,960
40,1014
40,7
40,945
40,977
40,997
40,980
40,79
40,90
40,621
40,928
40,472
40,1061
40,859
40,460
40,941
40,32
40,961
40,962
40,944
41,687
41,725
41,760
41,654
41,178
41,726
41,752
41,27
41,851
42,7
42,166
42,331
42,582
42,571
42,740
42,962
42,1707
42,1754
42,1731
42,1732
42,1735
42,1767
42,1762
42,1790
42,1765
42,1752
42,1831
42,1839
42,1828
42,1840
42,1846
42,1850
42,1794
42,1841
42,1849
42,1857
42,27383
43,646
43,668
43,719
43,807
43,799
43,808
43,798
43,823
43,834
43,824
43,811
43,830
43,12140
43,12172
44,48
44,1013
44,1073
44,1050
44,1011
44,46
44,1074
44,1071
44,1010
44,1134
44,34
44,1135
44,1026
44,1108
44,1143
44,1110
44,1137
44,1124
44,611
44,1139
44,1083
44,1142
44,632
44,1084
44,1109
44,622
44,612
44,45
44,978
44,1097
44,643
44,842
44,1311
44,852
45,36
45,48
45,44
45,34
45,683
45,852
45,566
45,1134
45,1485
45,632
45,978
45,1359
45,1456
45,1013
45,643
45,597
45,729
45,794
45,482
45,608
45,611
45,842
45,848
45,758
45,1595
45,1597
45,802
45,1598
45,858
45,840
45,1470
45,1808
45,1383
45,525
46,48
46,44
46,1910
46,1108
46,1013
46,1113
46,689
46,1502
46,1909
46,628
46,818
46,1917
46,1940
46,1938
46,802
46,612
46,532
46,1483
47,48
47,880
47,643
47,879
47,644
47,758
47,482
47,848
47,858
47,597
47,947
47,948
47,950
47,45
48,47
48,1026
48,728
48,34
48,45
48,44
48,774
48,758
48,974
48,975
48,46
48,749
48,643
48,525
48,818
48,923
48,1015
48,1004
48,632
48,1177
49,532
49,1137
49,1466
49,1484
49,1483
49,1467
49,1468
49,1492
49,1511
49,1499
49,1493
49,1517
49,1516
49,1509
50,2674
50,1472
50,1113
50,1413
50,610
50,1383
50,1137
50,2655
50,532
50,633
50,608
51,1307
51,1306
51,1257
51,1008
51,1262
51,498
51,1285
51,1386
52,1586
52,1749
52,1748
52,1727
52,521
52,1848
52,1763
52,1786
52,794
52,608
52,1470
52,1897
52,1899
53,1338
53,1335
53,1336
53,1088
53,1143
53,1314
53,1341
53,1366
53,880
53,1343
53,1315
53,1339
53,815
53,1368
53,1354
53,1364
53,1367
53,1328
53,1233
54,55
54,1708
54,1715
54,1742
54,1758
54,1759
54,1802
54,1804
54,1809
55,1970
55,1955
55,1969
55,1951
55,1954
55,1935
55,1952
55,1980
55,1950
55,54
55,1708
55,1809
56,1476
56,1525
56,1523
56,356
56,1546
56,1441
56,1159
56,1505
57,147
57,444
57,769
57,795
57,1120
57,1756
57,2130
57,2240
57,2992
57,3160
57,3275
57,3464
57,3718
57,3823
57,4601
57,4696
57,6361
57,12735
57,17636
58,37
58,75
58,1729
58,1728
58,1726
58,224
58,252
58,1686
58,188
58,1674
58,426
58,1711
58,1730
58,1703
58,551
58,1702
58,553
58,1560
58,1701
58,1224
58,62
58,1567
58,59
58,538
58,629
58,1838
59,58
59,1729
59,201
59,1886
59,1894
59,1686
59,224
59,1877
59,252
59,205
59,1014
59,795
59,188
59,1892
59,788
59,1730
59,1838
59,1878
59,426
59,1582
59,553
59,1711
59,1904
59,756
59,733
59,1898
59,1726
59,177
59,1865
59,62
59,538
59,629
59,418
59,1963
60,10
60,21
60,66
60,199
60,573
60,2103
60,2150
60,196
60,351
60,2149
60,191
60,1276
60,2102
60,575
60,720
60,334
60,175
60,1039
60,2112
60,192
60,2275
61,2
61,3
61,8
61,12
61,19
61,18
61,42
61,174
61,124
61,162
61,220
61,274
61,324
61,489
61,590
61,711
61,718
61,769
61,738
61,803
61,789
61,952
61,953
61,1206
61,1440
61,1463
61,1855
61,2004
61,2122
61,2153
61,2187
61,2277
61,2283
62,37
62,58
62,59
62,1729
62,1686
62,1886
62,2498
62,1878
62,224
62,252
62,1894
62,188
62,1963
62,1707
62,788
62,1726
62,426
62,1711
62,1730
62,551
62,1685
62,1560
62,1224
62,538
62,1703
62,629
62,1728
63,8
63,12
63,5
63,396
63,437
63,1432
63,198
63,1843
63,351
63,388
63,1524
63,210
63,171
63,697
63,108
63,1887
63,389
63,1870
63,516
63,1844
63,404
63,402
63,806
63,1463
63,395
64,1
64,1549
64,824
64,2307
64,2320
64,677
64,2318
64,2305
64,2289
64,2301
64,2304
64,2296
64,2297
64,2303
64,1442
64,2319
64,2288
64,423
64,2306
64,2302
64,1216
64,2391
65,1
65,1668
65,351
65,105
65,1601
65,359
65,357
65,1600
65,1655
65,1736
65,1737
65,1738
65,151
65,290
65,1772
65,1774
65,196
65,1775
65,269
65,1798
65,1799
65,1801
65,1803
66,1
66,15
66,10
66,21
66,1775
66,1858
66,298
66,1823
66,351
66,190
66,1854
66,1859
66,793
66,789
66,1853
66,1822
66,168
66,1837
66,775
66,1103
66,1845
66,179
66,1862
66,1860
66,835
66,1867
66,1866
66,1868
66,1836
66,1869
66,60
66,514
66,429
66,694
66,189
66,155
66,515
66,732
66,1964
66,1965
66,1966
66,1967
66,1968
66,104
66,806
66,1986
66,1039
66,152
66,2002
66,2003
66,2004
66,1389
66,192
67,1
67,1867
67,2233
67,152
67,536
67,427
67,1912
67,2234
67,2195
67,2232
67,789
67,1672
67,2276
67,2004
67,711
67,175
67,2281
67,307
67,2283
67,2308
67,2309
67,2311
68,1
68,30
68,2343
68,2346
68,2355
68,2358
68,1546
68,1787
68,2361
68,2347
68,502
68,1822
68,317
68,2345
68,951
68,2357
68,1141
68,2362
68,1874
68,2427
68,11
68,534
68,2030
68,2434
68,2435
68,2028
68,2439
68,288
69,1
69,659
69,2488
69,1718
69,536
69,90
69,472
69,393
70,1
70,2
70,117
70,170
70,228
70,286
70,284
70,437
70,1423
70,1798
70,1845
70,2134
70,2170
70,2191
70,2246
70,2361
70,2449
70,2486
70,2746
70,2765
70,2903
70,2964
70,3332
70,3724
70,5156
70,5852
70,8298
70,9451
70,13372
70,14005
71,1
71,1118
71,1670
71,400
71,1642
71,1076
71,1660
71,531
71,1615
71,1557
71,1080
71,1652
71,1602
71,1650
71,1643
71,1605
71,1644
72,1
72,228
72,2467
72,2501
72,2466
72,2478
72,336
72,2479
72,2476
72,2502
72,2178
72,2472
72,2543
72,2591
72,245
72,2592
72,2593
73,1
73,1762
73,740
73,2558
73,2670
73,2706
73,266
73,920
73,270
73,2733
73,2656
73,331
73,2283
73,534
73,1246
73,2612
73,2669
73,2658
73,2614
73,2704
73,287
73,1392
73,962
73,1227
73,1944
73,2705
73,2613
73,2692
73,2729
73,1826
73,2734
73,1857
73,2735
73,1261
73,280
73,1229
73,2690
73,267
73,2668
73,2691
73,2689
74,1
74,19
74,24
74,1178
74,274
74,282
74,105
74,806
74,198
74,1782
74,527
74,1918
74,108
74,1919
74,1930
74,1945
75,1
75,37
75,58
75,2359
75,2315
75,466
75,1701
75,2350
75,251
75,1851
75,2360
75,1241
75,2342
75,1894
75,2339
75,2341
75,801
75,1729
75,2327
75,2340
75,1582
75,2338
75,2249
75,1564
75,2329
75,2291
75,2428
75,641
75,2429
75,2440
75,2441
75,2437
75,2442
75,288
76,1
76,1926
76,82
76,1831
76,1994
76,1869
76,1939
76,1915
76,1874
76,112
76,1993
76,329
76,1936
76,1995
76,228
76,1992
76,1975
76,1924
76,1962
76,1961
76,1948
76,2007
76,1946
76,1927
76,738
76,1925
76,1858
76,2114
77,1
77,12
77,28
77,2618
77,1767
77,149
77,2652
77,2646
77,1159
77,1157
77,2606
77,2697
77,365
77,462
77,2672
77,694
77,2620
77,461
77,175
77,373
77,2671
77,100
77,515
77,751
77,793
77,2794
77,1373
77,2795
77,2796
77,2808
77,2809
77,108
77,1753
77,464
77,2323
77,716
77,2830
78,1
78,173
78,421
78,460
78,422
78,543
78,803
78,1014
78,1077
78,1209
78,1420
78,1421
78,1855
78,1939
78,2072
78,2062
78,2067
78,2049
78,2086
78,2068
78,2024
78,2098
78,2074
78,2105
78,2145
78,2095
78,2076
78,2115
78,2116
78,2130
78,2131
78,2982
78,4575
79,1
79,40
79,2773
79,2749
79,2771
79,2662
79,2031
79,2720
79,2722
79,2723
79,2780
79,2778
79,2764
79,2781
79,2761
79,987
79,2772
79,2763
79,2775
79,2779
79,2762
79,980
79,2532
79,2604
79,2777
79,2752
79,2782
79,2563
79,1676
79,1838
79,2774
79,944
79,2004
79,2867
79,2876
80,1
80,81
80,167
80,175
80,221
80,243
80,245
80,732
80,797
80,1009
80,1659
80,1743
80,1832
80,1894
80,1874
80,2029
80,2128
80,2166
80,2146
80,2167
80,2168
80,2178
80,2191
80,2195
80,2169
80,2219
80,2192
80,2190
80,2209
80,2218
80,2227
80,2533
80,7039
81,1
81,80
81,137
81,245
81,533
81,696
81,1207
81,1266
81,1881
81,1984
81,2219
81,2495
81,2547
81,2715
81,2753
81,2756
81,2754
81,2755
81,2793
81,2737
81,2759
81,2791
81,2818
81,3079
81,3385
82,1
82,76
82,230
82,368
82,370
82,1250
82,1831
82,1882
82,1993
82,2175
82,3209
82,3206
82,3213
82,3192
82,3238
82,3265
82,3231
82,3232
82,3263
83,1
83,239
83,646
83,660
83,803
83,1169
83,1301
83,1276
83,1796
83,1778
83,2406
83,2763
83,3952
83,4641
83,4978
83,5409
83,5397
83,5442
83,6065
83,6237
83,7499
83,8104
83,11566
83,12230
83,12342
83,12373
83,16894
83,22679
83,22780
84,1
84,88
84,170
84,160
84,210
84,245
84,315
84,514
84,541
84,868
84,915
84,990
84,1169
84,1281
84,1297
84,1640
84,1792
84,1846
84,1882
84,2134
84,2272
84,2376
84,2447
84,2700
84,2768
84,2733
84,2769
84,2804
84,2786
84,2787
84,2825
84,2826
84,2783
84,2853
84,2869
84,2828
84,2854
84,2824
84,2906
84,2895
84,2892
84,2945
84,2919
84,2946
84,2937
84,3083
84,3125
84,3146
84,3126
84,3135
84,3410
84,4374
84,4606
84,4822
84,5591
84,5966
84,6192
84,7884
84,8177
84,9350
84,9335
84,10026
84,11838
84,12347
